iter	Logloss
0	0.6867824527
1	0.6806839082
2	0.6757625349
3	0.6701040176
4	0.6639939736
5	0.6586212599
6	0.6533409601
7	0.6487983898
8	0.6437558219
9	0.6377506445
10	0.6329635767
11	0.628487299
12	0.6225392888
13	0.6181432323
14	0.6127153349
15	0.6078308158
16	0.6028685481
17	0.5980891554
18	0.5923091385
19	0.5883840541
20	0.5839957034
21	0.5795880687
22	0.5755585985
23	0.5711740665
24	0.5675848197
25	0.5623696433
26	0.5590172304
27	0.5530148341
28	0.5478310287
29	0.5435843652
30	0.5397860879
31	0.5363735453
32	0.5323250234
33	0.5279305817
34	0.5238742458
35	0.52029628
36	0.5164219986
37	0.512798667
38	0.5096995825
39	0.5060499247
40	0.5015651052
41	0.4973262583
42	0.4931481991
43	0.4894763612
44	0.4852267288
45	0.4824878772
46	0.4783797147
47	0.4745693395
48	0.4700052408
49	0.4671645098
50	0.4635461532
51	0.4598725826
52	0.4562398601
53	0.4529191806
54	0.4493491131
55	0.4467157714
56	0.4436427385
57	0.4404266416
58	0.4369672254
59	0.4340976966
60	0.4307600468
61	0.4283303205
62	0.4248866408
63	0.4222280669
64	0.4195153863
65	0.4162104553
66	0.4129625118
67	0.410233424
68	0.4075991905
69	0.4050008655
70	0.4016522696
71	0.3991781066
72	0.3960487534
73	0.3926696218
74	0.3901223151
75	0.3879899613
76	0.3845697429
77	0.3816903886
78	0.3792827361
79	0.376930397
80	0.3746947237
81	0.3723537459
82	0.3695577399
83	0.3671553164
84	0.3648552179
85	0.3625124903
86	0.35981679
87	0.357700446
88	0.3551622496
89	0.3532378319
90	0.3509058847
91	0.3487036749
92	0.3460624783
93	0.3438310423
94	0.3416369638
95	0.3393338144
96	0.3373456605
97	0.3353085526
98	0.3332324348
99	0.3314561492
100	0.3292223825
101	0.3274065305
102	0.3250159885
103	0.3229602245
104	0.3210605299
105	0.3192682688
106	0.3172995292
107	0.315614863
108	0.3136191856
109	0.3115029137
110	0.3101617258
111	0.3082752268
112	0.3063498934
113	0.3045467244
114	0.3029779286
115	0.3010055895
116	0.2989151851
117	0.2975013036
118	0.2954345339
119	0.2933574495
120	0.2913836743
121	0.2896802962
122	0.2881659449
123	0.2865632728
124	0.2849449955
125	0.2829728067
126	0.2812445624
127	0.2795891018
128	0.2778291339
129	0.2763972881
130	0.2748485511
131	0.2730744911
132	0.2714561067
133	0.2699877456
134	0.2686550343
135	0.2671955517
136	0.2654599973
137	0.26347809
138	0.2619229165
139	0.2604199612
140	0.2589895012
141	0.2574715288
142	0.2558581521
143	0.2542305898
144	0.2527784688
145	0.2515701356
146	0.2503743794
147	0.2488762168
148	0.2473298235
149	0.2457865359
150	0.2440984572
151	0.2421086063
152	0.2408686204
153	0.2395791291
154	0.2386335879
155	0.2373514081
156	0.235647018
157	0.2345404622
158	0.233262312
159	0.2322415955
160	0.2309767509
161	0.2298228599
162	0.2285787096
163	0.2272973504
164	0.2260243253
165	0.2246034615
166	0.22364084
167	0.2225032901
168	0.2211681994
169	0.2199345145
170	0.2186299215
171	0.2175158901
172	0.2162161758
173	0.2151170129
174	0.2139720059
175	0.2129263039
176	0.2116743003
177	0.2106110838
178	0.2094380067
179	0.2082887329
180	0.2072914966
181	0.2060878098
182	0.2048893675
183	0.2039832988
184	0.202929824
185	0.202038153
186	0.2009062091
187	0.1996387799
188	0.1986293189
189	0.1974442515
190	0.1964302987
191	0.1952168483
192	0.1939585539
193	0.1931285981
194	0.1920189241
195	0.191007176
196	0.1897981557
197	0.1887076732
198	0.1873166121
199	0.186265916
200	0.1854314857
201	0.1843127818
202	0.1833197775
203	0.1825419297
204	0.1814412715
205	0.1805909241
206	0.1794572412
207	0.1786363873
208	0.1777943301
209	0.1766806479
210	0.1757726638
211	0.174962322
212	0.1740504652
213	0.1733294789
214	0.1723996108
215	0.1714689439
216	0.1704822393
217	0.1696680654
218	0.1689534411
219	0.1681742281
220	0.1673596818
221	0.1664337026
222	0.1654942209
223	0.1645407388
224	0.1637107566
225	0.1628307252
226	0.1619159599
227	0.1612471041
228	0.1605734519
229	0.1598743989
230	0.1591714675
231	0.1583312383
232	0.1577320505
233	0.1569283201
234	0.1560866096
235	0.1552029295
236	0.1544892151
237	0.1538686505
238	0.153287179
239	0.1525829978
240	0.1515575383
241	0.1505804595
242	0.1497380223
243	0.1490518183
244	0.1482393066
245	0.1474562
246	0.1468551038
247	0.1461851245
248	0.1453199758
249	0.1445866461
250	0.1439783137
251	0.1432730248
252	0.1426565507
253	0.1420320327
254	0.1413985784
255	0.140703477
256	0.1401257241
257	0.1392968626
258	0.1386990802
259	0.1379678732
260	0.1373037054
261	0.1367509126
262	0.1360498772
263	0.1353751672
264	0.1348602626
265	0.1342704124
266	0.1337902954
267	0.1331986735
268	0.1324470278
269	0.1318323633
270	0.1310072237
271	0.1304202792
272	0.1298645649
273	0.1291083999
274	0.128577705
275	0.1279839617
276	0.127375924
277	0.1267603583
278	0.1262575842
279	0.1256268157
280	0.1251644991
281	0.1246801261
282	0.1241056252
283	0.1236064513
284	0.1229588632
285	0.1224349916
286	0.121950812
287	0.1214111873
288	0.1209838829
289	0.1204021975
290	0.1198397571
291	0.1193308879
292	0.1187802912
293	0.1182463687
294	0.1177395974
295	0.1171786467
296	0.1165000824
297	0.1159087261
298	0.1154552079
299	0.1149087626
300	0.1143591323
301	0.1138856167
302	0.1133675968
303	0.1130365656
304	0.1126075885
305	0.1121113629
306	0.111437034
307	0.1109173538
308	0.1104096883
309	0.1099076254
310	0.1093711146
311	0.1090093247
312	0.1084786399
313	0.1079007033
314	0.1073662362
315	0.1068149179
316	0.1064530536
317	0.1061259939
318	0.1056537721
319	0.1052096375
320	0.1046960914
321	0.1042573543
322	0.103864317
